Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,total,abn_count,ratio,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B25,Exp1_B25,Cab,P1,NP,Urban,68,62,0.911764706,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B26,Exp1_B26,Twp,P2,C,Nonurban,50,10,0.2,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B27,Exp1_B27,Cab,P3,NP,Urban,63,34,0.53968254,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B28,Exp1_B28,Trp,P4,NP,Nonurban,136,136,1,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B29,Exp1_B29,Trp,P2,C,Nonurban,126,17,0.134920635,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B30,Exp1_B30,Wh,P1,C,Urban,34,4,0.117647059,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B31,Exp1_B31,Cab,P4,C,Urban,126,17,0.134920635,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B32,Exp1_B32,Twp,P3,NP,Nonurban,76,76,1,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B1,Exp2_B1,Cab,P5,C,Urban,56,6,0.107142857,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B2,Exp2_B2,Wh,P7,NP,Urban,30,30,1,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B3,Exp2_B3,Cab,P6,NP,Urban,38,38,1,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B4,Exp2_B4,Trp,P6,NP,Nonurban,69,60,0.869565217,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B5,Exp2_B5,Twp,P7,C,Nonurban,94,11,0.117021277,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B6,Exp2_B6,Wh,P8,C,Urban,52,10,0.192307692,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B7,Exp2_B7,Trp,P7,NP,Nonurban,65,52,0.8,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B8,Exp2_B8,Twp,P5,C,Nonurban,16,2,0.125,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B9,Exp2_B9,Wh,P8,NP,Urban,32,13,0.40625,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B10,Exp2_B10,Twp,P6,NP,Nonurban,46,5,0.108695652,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B11,Exp2_B11,Cab,P7,C,Urban,66,4,0.060606061,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B12,Exp2_B12,Trp,P8,C,Nonurban,63,11,0.174603175,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B13,Exp2_B13,Wh,P7,C,Urban,12,3,0.25,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B14,Exp2_B14,Trp,P5,C,Nonurban,51,8,0.156862745,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B16,Exp2_B16,Cab,P6,C,Urban,49,14,0.285714286,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B17,Exp2_B17,Twp,P5,NP,Nonurban,19,1,0.052631579,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B18,Exp2_B18,Wh,P6,NP,Urban,60,57,0.95,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B19,Exp2_B19,Cab,P8,NP,Urban,32,32,1,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B20,Exp2_B20,Trp,P7,C,Nonurban,99,4,0.04040404,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B21,Exp2_B21,Wh,P5,NP,Urban,115,28,0.243478261,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B23,Exp2_B23,Wh,P6,C,Urban,42,11,0.261904762,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B24,Exp2_B24,Trp,P5,NP,Nonurban,53,37,0.698113208,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B25,Exp2_B25,Cab,P5,NP,Urban,42,36,0.857142857,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B26,Exp2_B26,Twp,P6,C,Nonurban,74,20,0.27027027,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B27,Exp2_B27,Cab,P7,NP,Urban,47,47,1,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B28,Exp2_B28,Trp,P8,NP,Nonurban,71,17,0.23943662,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B29,Exp2_B29,Trp,P6,C,Nonurban,99,15,0.151515152,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B30,Exp2_B30,Wh,P5,C,Urban,6,0,0,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B31,Exp2_B31,Cab,P8,C,Urban,36,6,0.166666667,,,,,,,,,,,,,,,,,
Gastrula,Exp2,B32,Exp2_B32,Twp,P7,NP,Nonurban,76,66,0.868421053,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B1,Exp3_B1,Cab,P9,C,Urban,62,19,0.306451613,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B2,Exp3_B2,Wh,P11,NP,Urban,85,12,0.141176471,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B3,Exp3_B3,Cab,P10,NP,Urban,123,7,0.056910569,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B4,Exp3_B4,Trp,P10,NP,Nonurban,107,6,0.056074766,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B7,Exp3_B7,Trp,P11,NP,Nonurban,96,29,0.302083333,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B8,Exp3_B8,Twp,P9,C,Nonurban,54,22,0.407407407,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B10,Exp3_B10,Twp,P10,NP,Nonurban,64,8,0.125,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B11,Exp3_B11,Cab,P11,C,Urban,68,34,0.5,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B13,Exp3_B13,Wh,P11,C,Urban,27,15,0.555555556,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B14,Exp3_B14,Trp,P9,C,Nonurban,71,38,0.535211268,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B16,Exp3_B16,Cab,P10,C,Urban,98,42,0.428571429,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B17,Exp3_B17,Twp,P9,NP,Nonurban,78,17,0.217948718,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B18,Exp3_B18,Wh,P10,NP,Urban,77,13,0.168831169,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B19,Exp3_B19,Cab,P12,NP,Urban,121,25,0.20661157,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B20,Exp3_B20,Trp,P11,C,Nonurban,131,21,0.160305344,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B21,Exp3_B21,Wh,P9,NP,Urban,90,13,0.144444444,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B23,Exp3_B23,Wh,P10,C,Urban,88,36,0.409090909,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B24,Exp3_B24,Trp,P9,NP,Nonurban,133,34,0.255639098,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B25,Exp3_B25,Cab,P9,NP,Urban,105,23,0.219047619,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B26,Exp3_B26,Twp,P10,C,Nonurban,130,23,0.176923077,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B27,Exp3_B27,Cab,P11,NP,Urban,87,25,0.287356322,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B29,Exp3_B29,Trp,P10,C,Nonurban,67,14,0.208955224,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B30,Exp3_B30,Wh,P9,C,Urban,53,12,0.226415094,,,,,,,,,,,,,,,,,
Gastrula,Exp3,B31,Exp3_B31,Cab,P12,C,Urban,117,29,0.247863248,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B1,Exp4_B1,Cab,P13,C,Urban,131,12,0.091603053,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B3,Exp4_B3,Cab,P14,NP,Urban,76,4,0.052631579,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B5,Exp4_B5,Wh,P13,C,Urban,28,3,0.107142857,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B6,Exp4_B6,Cab,P16,C,Urban,49,7,0.142857143,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B7,Exp4_B7,Trp,P13,NP,Nonurban,45,6,0.133333333,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B8,Exp4_B8,Wh,P14,C,Urban,38,16,0.421052632,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B9,Exp4_B9,Cab,P15,NP,Urban,83,6,0.072289157,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B10,Exp4_B10,Wh,P13,NP,Urban,61,8,0.131147541,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B11,Exp4_B11,Cab,P15,C,Urban,73,16,0.219178082,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B14,Exp4_B14,Trp,P13,C,Nonurban,39,7,0.179487179,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B15,Exp4_B15,Cab,P13,NP,Urban,113,23,0.203539823,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B16,Exp4_B16,Cab,P14,C,Urban,83,22,0.265060241,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B17,Exp4_B17,Cab,P16,NP,Urban,122,8,0.06557377,,,,,,,,,,,,,,,,,
Gastrula,Exp4,B18,Exp4_B18,Wh,P14,NP,Urban,33,22,0.666666667,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
